hashtag,trend,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,re201601,re201602,re201603,re201604,re201605,re201606,re201607,re201608,re201609,re201610,re201611,re201612,re201701,re201702,re201703,re201704,re201705,re201706,re201707,re201708,re201709,re201710,re201711,re201712,re201801,re201802,re201803,re201804,re201805,re201806,re201807,re201808,re201809,re201810,re201811,re201812,re201901,re201902,re201903,re201904,re201905
#leavemeansleave,0.856408079,0,0,0,0,0,31,30,11,42,34,41,39,39,11,5,13,10,17,17,7,26,44,27,41,41,34,41,28,38,58,43,48,63,76,72,81,110,98,209,144,180,0,0,0,0,0,10,93,16,277,285,140,92,130,5,5,6,11,273,56,2,272,857,336,34,126,82,1359,1024,1543,2976,2545,1152,2881,3572,1226,7265,7072,6587,26895,11163,6150
#marchtoleave,0.970303781,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,43,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123931,2449,32
#maymustgo,0.887929958,0,1,1,2,0,0,28,3,2,8,3,5,43,32,39,42,52,250,51,43,74,53,52,44,46,37,31,77,47,73,158,64,59,59,87,86,58,36,222,52,53,0,11,0,1,0,0,69,0,3,8,0,2,121,91,83,128,844,55007,3381,489,1541,583,727,414,243,177,265,15676,1957,1517,10958,2026,2813,1444,3665,6195,2784,569,28101,2443,1009
#nexit,0.915036221,25,26,40,40,43,78,41,63,53,46,43,47,46,57,64,36,40,31,34,30,23,35,27,28,27,26,21,32,32,31,29,25,33,42,29,29,32,31,36,40,54,18,745,73,305,262,4170,966,598,452,736,1001,1458,1206,1227,2203,95,261,263,1109,36,804,100,69,246,60,353,41,41,211,1174,113,12,1821,260,487,110,80,70,1962,218,450
#nodeal,0.991208477,40,47,44,40,38,41,40,38,42,52,57,37,36,49,58,39,41,50,51,49,38,40,53,58,55,50,68,28,42,46,57,64,76,77,108,167,282,181,328,190,174,128,433,358,125,86,591,469,151,196,80,81,185,76,40,963,119,926,207,718,718,197,1616,1790,630,2647,934,1267,218,764,1306,3990,6561,7204,4245,3457,13961,35234,21417,46528,19148,9787
#nodealbrexit,0.788301195,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,11,8,11,4,2,9,43,36,33,41,32,29,10,9,30,64,128,96,66,93,169,241,132,226,120,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,121,7,9,1,0,0,508,238,45,177,628,37,6,3,70,5165,21580,6453,4558,5606,26625,22434,15516,23725,8432,8321
#peoplesvote,0.036785674,3,2,6,10,5,13,4,1,8,3,20,5,9,7,3,9,5,17,7,4,1,5,4,0,9,3,35,220,217,496,718,678,1170,1331,1710,1516,1315,758,1505,764,285,0,1,1,0,1,6,0,18,3,0,11,1,5,6,0,293,11,52,13,44,11,0,3,0,16,14,1726,47230,42495,112534,197966,184370,301270,350715,458959,368487,299569,146237,409089,185771,27710
#peoplesvotemarch,0.004252354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,386,42,55,59,737,40,43,44,36,723,38,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,128700,2566,2156,2864,238574,1954,528,381,2070,233067,437,12
#putittothepeople,0.175136653,2,1,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,23,2,0,88,451,80,62,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,12,187,19,0,25126,187260,8415,1752
#remain,0.066136875,60,65,71,119,325,2991,202,100,74,108,125,94,96,104,119,110,97,141,111,102,150,105,138,148,214,167,167,119,122,153,191,139,164,181,284,291,309,204,403,347,262,250,1037,1311,11769,15032,219643,6267,1475,1737,6123,10220,2567,3707,2234,3384,3304,3085,4829,4261,4965,14759,4530,6806,11168,22867,13394,16722,7172,7176,10234,18027,9042,17537,15554,18791,21382,22778,12860,40158,34300,14487
#revokea50,0.137895926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,17,12,5,4,43,81,44,34,43,28,18,20,29,45,45,37,53,62,146,257,148,412,173,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,9,8,0,0,61,216,304,68,33,162,25,19,84,290,51,587,357,325,10623,22309,19677,44609,10985,5873
#standup4brexit,0.992380334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,44,79,112,70,82,59,113,69,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8116,2969,9691,11789,4318,6242,7371,19535,14309,9110
#stopbrexit,0.004976443,0,3,0,1,3,53,42,45,51,48,71,65,39,54,81,79,84,117,156,215,336,525,692,718,605,583,577,336,374,526,524,365,363,422,421,459,480,419,616,316,341,0,4,0,1,4,245,159,136,159,718,1011,806,794,1675,2467,1498,701,6155,9464,11997,18919,41916,70926,79683,78316,85602,86598,47631,48445,66613,89256,51127,37346,47373,40318,55934,57149,48900,94281,47465,24338
#strongerin,0.102749628,58,140,134,177,370,884,56,39,61,48,49,41,40,43,54,42,45,50,38,39,46,41,37,39,36,37,31,36,21,36,38,30,35,30,33,42,37,19,36,34,35,635,4338,4176,6502,20167,78887,677,257,291,240,251,283,151,61,154,130,29,74,133,25,97,57,179,18,36,57,108,38,10,67,27,15,124,23,37,22,107,237,187,131,28
#takecontrol,0.993939051,48,58,63,88,102,184,59,68,62,61,62,41,65,60,54,74,61,45,60,47,53,42,60,50,60,54,43,75,59,49,41,55,60,58,51,42,60,47,60,58,52,169,434,1423,2441,7334,15616,1043,523,185,512,272,273,359,174,912,578,268,165,83,168,158,147,298,191,580,217,187,309,391,196,654,182,761,178,5070,159,621,130,266,204,127
#theresamay,0.713837301,42,44,54,47,37,36,398,64,119,154,129,102,316,108,166,264,415,848,139,90,156,214,154,146,159,118,175,192,109,121,0,117,149,197,278,244,275,132,383,191,556,125,107,232,333,144,459,25026,1338,3043,7129,4895,5585,26065,5286,10047,43127,29234,61062,5793,3547,11607,18497,8230,9104,7473,3834,13337,12917,7220,4201,0,11471,13452,83798,24415,15688,25180,6425,18918,10405,33279
#voteleave,0.973934168,60,145,125,221,685,2807,91,61,62,56,73,55,39,52,55,33,43,43,40,43,54,43,40,41,50,33,64,54,47,50,38,56,50,45,43,54,55,48,56,45,69,1846,9576,7197,14455,62793,312757,4886,1316,650,637,958,338,215,950,482,378,196,527,459,105,263,108,379,172,93,175,5806,2362,727,424,2389,1586,4497,794,2029,365,2153,563,8319,7045,370
#voteout,0.936435803,38,44,38,47,68,136,35,45,33,43,29,23,38,44,45,53,55,46,42,37,60,49,41,30,38,52,40,30,32,40,32,32,32,39,28,17,31,26,18,31,40,23,122,70,226,1263,1680,125,182,13,111,322,32,71,138,98,69,178,271,174,361,184,255,29,100,38,73,214,206,63,3404,65,17,36,408,8,6,25,62,10,25,50
#voteremain,0.081628965,27,47,54,77,101,1506,45,36,41,43,40,41,45,35,38,39,46,31,15,13,15,19,23,19,39,45,18,44,39,27,37,29,21,37,40,17,43,37,42,51,117,58,581,268,466,3904,119065,486,64,85,54,115,119,95,365,107,93,92,32,34,6,3,2,21,4,127,284,612,302,436,53,29,17,11,18,48,16,869,16,253,829,7709
#waton,0.015560061,1,3,0,4,1,1,3,0,3,13,1,0,5,1,2,1,0,0,1,2,2,0,1,0,178,164,100,76,20,59,59,63,0,67,63,57,60,58,75,51,84,0,5,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,20364,13626,7012,2996,1619,1660,1756,1586,0,1388,905,428,766,471,1576,797,504
#windrush,0.692231832,26,19,30,31,27,40,37,23,17,19,40,37,19,17,25,14,23,43,23,12,34,40,32,23,40,46,41,707,17,101,68,0,94,88,81,0,61,100,73,80,211,11,39,11,26,39,188,34,9,19,26,92,52,9,47,28,38,34,224,42,11,61,95,63,79,535,406,322,256822,2460,13176,5161,0,8108,5568,6111,0,5387,14641,6007,8149,3198
