hashtag,trend,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,re201601,re201602,re201603,re201604,re201605,re201606,re201607,re201608,re201609,re201610,re201611,re201612,re201701,re201702,re201703,re201704,re201705,re201706,re201707,re201708,re201709,re201710,re201711,re201712,re201801,re201802,re201803,re201804,re201805,re201806,re201807,re201808,re201809,re201810,re201811,re201812,re201901,re201902,re201903,re201904
#nexit,0.8994916,0,0,9,16,73,85,141,117,70,31,28,46,23,43,42,28,8,4,7,5,1,1,0,2,4,0,2,0,1,1,0,0,0,0,0,1,2,1,0,0,0,0,777,352,2385,2226,6912,5157,3496,1270,2564,3465,1755,2706,2617,2355,573,165,278,277,15,66,0,60,139,0,246,0,36,111,0,0,0,0,0,241,82,30,0,0
#nhs,0.308549402,0,2,17,13,94,76,91,13,8,10,17,19,6,45,33,25,60,25,29,31,11,13,14,53,54,97,77,32,55,55,60,22,52,44,32,26,23,28,24,15,0,41,399,615,3290,3046,2991,649,406,388,2168,1785,844,4560,3524,2704,6336,1862,2733,6203,3110,2683,2416,5410,9365,21013,14791,7254,4747,9269,12037,3789,8206,5244,3907,5095,2769,3451,5309,2348
#no2eu,0.980752142,0,4,17,37,37,41,35,2,0,14,12,27,18,26,10,24,20,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,6470,1510,1391,1853,1515,1874,0,593,563,3401,3291,2602,1662,3285,2724,4541,0,0,0,764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#nobrexit,0.0719128,0,0,0,0,0,0,2,21,81,24,13,15,10,27,8,13,5,2,5,4,4,2,1,2,10,0,2,1,0,3,2,3,2,3,8,19,8,8,5,6,0,0,0,0,0,0,39,381,1537,514,278,642,494,1556,419,1045,157,68,176,645,154,34,387,74,497,0,26,27,0,211,104,385,117,221,217,4122,4991,487,2128,817
#noconfidence,0.440818855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,108,114,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,203,0,0,0,100,12287,14433,0,109
#nodeal,0.99349971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,57,94,52,47,57,125,222,148,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,955,1013,8637,18982,8284,6303,9891,19407,35081,27023,21119
#nodealbrexit,0.584815642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,5,0,0,0,0,0,36,91,33,31,22,52,64,38,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,72,320,0,0,0,0,0,6307,17317,2572,6489,3937,6390,7784,8874,4877
#notbuyingit,0.244326162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9520,1094,0,0,52
#nowaymay,0.356830493,0,0,0,0,0,0,0,28,0,0,0,0,0,64,9,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,975,0,0,0,0,0,5006,2598,349,0,100,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592,0,0,0,0
#obama,0.83137925,0,0,2,2,58,16,64,4,2,0,1,7,0,3,1,0,6,4,0,0,0,0,0,1,2,0,0,0,0,0,0,3,0,1,0,0,0,1,1,0,0,0,35,46,3719,1471,14222,30,16,0,20,158,0,107,17,0,1538,68,0,0,0,0,0,28,55,0,0,0,0,0,0,2364,0,224,0,0,0,29,179,0
#peoplesvote,0.158796635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623,834,934,1091,1470,1833,1937,1924,1960,1264,747,811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88940,99463,152611,198230,255193,296664,316895,386312,342203,215992,112482,203882
#peoplesvotemarch,0.006487027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449,19,13,19,820,6,3,0,9,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106998,2144,1393,1398,148952,352,194,0,1018,10212
#putittothepeople,0.130564497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16574,35063
#regrexit,0.499585589,0,0,0,0,0,0,68,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3734,180,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#remain,0.232926913,0,0,8,86,145,378,1406,125,174,262,360,243,168,317,221,280,314,191,126,257,176,152,70,126,208,450,224,277,256,285,151,197,193,252,258,411,350,263,193,190,0,0,453,2906,5988,15704,57277,3947,4341,8394,12377,9901,9796,22408,16926,23807,26943,18748,14110,25357,17356,18607,8238,13954,22635,57838,31411,37756,39188,30704,19899,33041,25627,29225,32897,63178,42435,33820,20440,28452
#remainernow,0.022788904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19,39,38,34,72,60,47,42,93,55,66,64,72,42,27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2731,4887,5227,3807,2983,9724,4502,5070,3303,9192,4433,3943,5877,8037,5710,2226,3449
#revokea50,0.269675844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,10,142,150,163,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,589,570,795,15213,14837,16410,40560
#standup4brexit,0.994089552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,124,119,148,89,110,89,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20053,14090,13147,38395,16945,22643,22973,13996
#stopbrexit,0.060365625,0,0,0,0,0,0,0,0,1,1,10,7,3,8,6,41,111,28,39,392,330,275,257,908,1444,1562,1220,1135,1207,1023,764,702,582,486,493,433,529,339,316,238,0,0,0,0,0,0,0,0,76,22,743,230,52,1019,243,2415,10777,2109,4394,37768,29253,27692,23520,108238,160090,207956,146780,147799,146136,117049,110996,79232,75203,46915,51072,46995,84061,41337,34559,65045
#strongerin,0.022516742,0,7,63,249,385,712,599,18,29,5,0,1,2,4,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,177,2264,18954,15535,34450,27202,349,871,71,0,39,56,132,0,0,0,0,0,0,0,66,0,0,0,0,26,0,42,0,0,0,0,0,0,0,0,0,0,0
#takecontrol,0.948104597,0,1,2,4,19,90,139,1,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,32,114,270,770,4198,9005,40,0,0,58,0,0,0,0,255,41,0,0,0,0,0,0,0,0,0,0,0,0,176,0,164,0,0,0,0,0,0,0,0
#theresamay,0.324306414,0,0,0,0,1,0,2,95,13,16,47,28,37,116,32,82,66,56,45,11,9,33,19,6,62,27,28,73,27,38,27,95,50,39,54,133,327,99,64,79,0,0,0,0,32,0,72,4816,286,643,2956,5016,2897,14121,1981,8596,6815,4532,3359,890,906,3426,2044,969,7204,4482,2321,8863,3964,5430,4115,11379,8398,6082,7486,22130,16382,11570,6846,19585
#trump,0.767769266,0,0,2,2,16,10,193,37,50,22,45,341,67,208,115,71,48,27,18,11,14,27,4,20,32,28,11,40,20,19,10,90,16,15,20,31,29,39,19,22,0,0,132,53,655,563,10353,1048,2439,540,1704,20658,3040,15215,6906,5448,4687,1697,494,258,514,1576,226,3183,9920,5747,606,9097,2827,1479,2744,10569,3108,2287,8241,2425,1848,5209,3033,2157
#voteleave,0.995832409,0,55,153,314,529,1347,2798,97,37,28,17,24,3,5,7,1,2,0,0,5,0,0,1,1,3,0,0,7,20,10,6,46,13,8,2,4,2,15,18,18,0,2784,11459,21813,22619,69355,149079,3430,951,688,767,1219,90,299,901,46,176,0,0,368,0,0,10,27,93,0,0,505,2441,1133,410,10901,2013,2497,675,587,1014,1670,2462,3336
#voteout,0.944405345,0,0,0,0,3,87,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,4147,25177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#voteremain,0.364309421,0,0,5,0,1,19,645,4,0,0,0,0,0,4,2,1,1,0,0,0,0,0,0,0,0,9,8,0,8,6,1,0,0,0,0,0,0,1,0,1,0,0,147,0,15,4068,35716,84,0,0,0,0,0,292,680,70,29,0,0,0,0,0,0,0,0,626,686,0,326,262,41,0,0,0,0,0,0,806,0,50
#waton,0.042282398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,460,211,178,118,27,41,52,29,23,28,32,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66645,47900,28591,12204,12220,3028,3219,3514,1921,4267,2022,4702,631,308,267
#windrush,0.4978725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,17,3,1,0,5,1,7,5,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13402,2251,154,202,0,481,13,736,705,82,57,123
#yeseu,0.042770317,0,0,0,0,0,0,2,0,0,166,220,150,102,143,135,132,90,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,5083,7586,5968,4774,10842,10486,13194,9766,399,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
