hashtag,trend,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,re201601,re201602,re201603,re201604,re201605,re201606,re201607,re201608,re201609,re201610,re201611,re201612,re201701,re201702,re201703,re201704,re201705,re201706,re201707,re201708,re201709,re201710,re201711,re201712,re201801,re201802,re201803,re201804,re201805,re201806,re201807,re201808,re201809,re201810,re201811,re201812,re201901,re201902,re201903,re201904
#abtv,0.007558012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,132,255,760,177,4,31,13,11,8,9,21,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18003,16043,31746,71673,12905,412,2839,405,775,1392,267,3739,476,270,86
#betteroffout,0.902535395,0,6,12,43,24,79,44,3,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,4,0,0,0,3,0,0,1,1,0,0,316,807,2128,1800,4234,4880,215,24,0,0,26,0,37,0,0,0,0,0,0,19,0,0,0,0,0,0,76,0,0,429,0,0,0,222,0,0,28,447,0
#brexitbetrayal,0.862425123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,24,9,0,73,24,9,19,53,93,40,15,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5990,2636,385,0,5990,2636,385,1796,8016,12373,4870,1793,11459
#brexitchaos,0.252268771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,33,9,8,10,201,106,73,27,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,394,3376,959,801,1722,95224,10660,6704,3747,5811
#brexitmayhem,0.495603399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7771
#brexitshambles,0.272684115,0,0,0,0,0,0,0,0,0,1,11,42,34,82,43,32,19,35,24,40,75,73,52,134,151,183,155,156,114,148,106,165,117,95,104,140,217,132,99,116,0,0,0,0,0,0,0,0,0,29,265,2574,3065,4584,3088,5599,1296,1947,15631,3471,9619,8800,5927,23812,33185,30458,19322,27470,12482,13377,12337,23835,18582,8854,11499,20681,21461,11921,10689,17169
#brexitvote,0.725526442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,84,333,17,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,586,0,43,0,15467,53215,977,33022
#chequers,0.829023161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,43,57,79,27,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,0,0,0,0,3477,6325,7823,1844,2639,2167,0,0,0
#daxit,0.92547114,0,0,0,0,7,0,27,61,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,1554,2544,72,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#election2016,0.536496374,0,0,3,0,0,1,11,2,1,0,5,81,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,77,362,450,19,0,561,7287,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#fbpe,0.110244713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,1060,1641,1245,1032,719,741,599,465,466,374,423,306,379,223,155,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21673,122702,219168,160359,143340,95135,86938,95869,68293,81043,46811,67454,48692,43241,28554,25438,35435
#finalsay,0.211170848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,15,98,207,289,221,325,376,206,75,189,271,317,285,347,416,146,126,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,15,0,0,0,0,0,0,804,6018,19742,22599,22130,51148,42313,16901,5631,17372,31096,41535,37896,44386,57000,18813,20937,46804
#frexit,0.953871969,0,0,0,10,30,33,100,60,29,25,19,43,31,46,43,36,35,3,1,2,2,0,0,2,0,3,2,0,1,0,0,0,0,0,0,0,26,1,6,7,0,0,0,391,1232,611,4506,2554,1305,1078,972,3600,2426,2936,2454,2591,3145,41,55,130,264,0,0,60,0,386,246,0,21,0,0,0,0,0,0,0,3252,21,409,914
#ge17,0.5108658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,219,98,2,1,0,0,11,0,4,0,1,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22080,21431,6225,88,147,0,0,959,0,172,0,107,70,0,0,257,0,0,0,0,0,55,223,0
#gowto,0.934913416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,39,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8908,6857,1829
#gtto,0.343456271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,24,50,74,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1235,3211,2274,6649,10355,4652,6010
#honda,0.258266597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13869,40
#indyref2,0.739888755,0,0,5,9,2,4,102,85,26,58,140,23,26,113,82,337,33,19,11,5,1,4,11,4,16,20,22,19,19,18,41,70,41,66,63,93,103,146,75,75,0,0,173,394,87,134,5743,2804,1146,2208,9457,1508,1765,7726,5755,44368,1777,2080,900,305,67,226,624,616,959,2978,2330,1942,1382,2170,5026,7526,3289,11650,7321,10506,23793,19945,10181,11414
#labour,0.589508776,0,4,7,16,77,97,722,22,7,15,18,40,27,63,52,28,45,45,33,29,23,38,14,63,101,80,38,65,69,109,62,68,48,77,97,87,125,115,141,55,0,174,182,376,2315,3945,35264,689,120,411,834,3638,2017,2741,3256,2058,3055,4989,3071,2193,2439,4632,829,10127,15820,11910,4984,7021,6909,9541,6913,9623,14935,7363,10924,13116,38258,20076,24156,6812
#leave,0.984294114,0,5,14,14,32,133,510,141,81,53,39,70,30,35,15,29,15,16,6,9,13,42,9,36,76,68,37,53,33,53,51,60,46,37,60,48,50,118,81,100,0,534,530,1167,1166,3530,21273,6238,2496,1839,2217,3684,1386,3527,708,2213,2918,1303,1118,511,3132,4095,2210,10707,11797,14498,4532,11682,4002,6263,7139,19390,13687,8363,9136,6468,10500,19697,15222,24964
#leaveeu,0.997662523,0,81,200,379,404,765,790,66,65,33,18,54,23,15,35,23,7,7,2,2,8,10,1,4,3,6,11,22,15,16,4,11,0,1,2,6,8,3,3,5,0,3829,16169,27405,19374,43164,37717,2254,1630,911,575,3427,1015,1532,1948,2166,745,2221,74,77,778,1674,16,512,1898,2116,927,2148,1791,2388,625,800,0,31,42,1090,335,103,242,530
#leavemeansleave,0.721182188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,5,4,11,14,68,53,30,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1295,799,215,1194,189,5076,1676,5380,9399,6960,9909
#maga,0.710502718,0,0,0,0,22,80,258,9,28,18,59,66,10,19,18,36,17,7,2,7,4,8,3,12,12,2,7,9,4,4,3,36,9,3,10,15,46,16,9,17,0,0,0,0,2825,15055,41803,651,6483,1559,4716,6344,217,3417,1251,3712,1265,324,194,1771,888,220,327,2245,481,56,2280,2449,565,892,202,2290,495,117,8726,3763,5314,918,481,2724
#marchtoleave,0.489737043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14731
#maymustgo,0.848281056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,9,3,0,0,3,1,8,6,8,7,3,18,9,140,44,6,19,37,30,16,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,48,633,101,0,0,252,96,1231,308,848,429,568,3201,578,10567,8996,262,2260,4549,2481,1851,198,6848
#merkel,0.934828361,0,1,8,9,43,43,57,22,22,10,7,22,9,9,4,4,4,9,2,0,1,1,1,3,0,2,2,6,1,1,3,0,2,0,7,0,9,0,2,2,0,50,192,190,4499,5876,5170,1559,1112,388,228,1538,636,393,121,86,277,767,39,0,40,29,43,311,0,146,92,3442,9,15,50,0,68,0,7410,0,2277,0,898,262
