hashtag,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903
苏格兰,31,71,22,31,66,789,376,151,191,453,138,167,350,248,903,243,137,205,126,82,136,86,119,267,183,280,321,148,280,375,356,319,356,417,644,491,627,423,439,22,903
贸易,22,52,102,171,125,491,493,149,270,295,207,173,503,165,255,214,121,149,360,238,256,186,349,433,412,614,541,436,391,379,739,560,481,553,619,562,736,755,389,22,755
移民,8,41,46,45,122,574,119,42,125,145,96,69,119,83,88,58,93,76,78,58,114,31,72,84,88,120,95,121,92,95,114,95,111,111,158,267,148,97,79,8,574
爱尔兰,12,21,24,24,40,388,191,50,61,188,71,48,164,114,213,139,94,137,84,116,125,73,463,533,97,342,347,270,788,270,290,223,360,629,466,443,719,416,316,12,788
