hashtag,201601,201602,201603,201604,201605,20160601,20160623,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810
trade,14,19,42,66,72,103,87,187,40,72,92,64,63,144,40,73,51,26,42,78,74,61,93,110,114,103,175,137,73,98,94,195,131,108,148
immigration,1,11,14,13,46,82,72,53,17,24,41,18,26,39,15,21,18,17,19,16,20,21,12,19,25,18,22,20,17,15,19,23,14,18,33
scotland,3,17,4,6,9,21,138,116,34,32,92,43,37,103,69,160,38,20,31,18,19,28,24,24,58,43,56,73,22,41,71,72,34,72,71
ireland ,1,9,5,5,11,23,70,59,18,9,49,20,10,34,21,80,41,32,35,30,43,38,36,122,184,17,103,88,52,53,61,76,27,107,159
